Bike_Direction,Crash_Alcohol_Involved,Weekday_Or_Weekend,Crash_Location,Development,Light_Conditions,Locality,Road_Surface,Rural_Or_Urban,SpeedLimit
With Traffic,Yes,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,60 - 75 MPH
With Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,30 - 35  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
Not Applicable,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekend,Non-Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,40 - 45  MPH
Not Applicable,No,Weekend,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekend,Non-Intersection,Residential,Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,30 - 35  MPH
With Traffic,No,Weekday,Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekend,Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,Yes,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,20 - 25  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Coarse Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekday,Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekend,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Coarse Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
Facing Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
Facing Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Concrete,Urban,40 - 45  MPH
Not Applicable,No,Weekday,Non-Intersection,Residential,Dusk,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,60 - 75 MPH
With Traffic,Yes,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Mixed (30% To 70% Developed),Coarse Asphalt,Urban,40 - 45  MPH
Not Applicable,No,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Coarse Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
Not Applicable,Yes,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
Not Applicable,No,Weekend,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Coarse Asphalt,Rural,30 - 35  MPH
With Traffic,Yes,Weekend,Non-Intersection,Residential,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekday,Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekend,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,60 - 75 MPH
With Traffic,No,Weekend,Intersection,Residential,Daylight,Urban (>70% Developed),Grooved Concrete,Urban,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,20 - 25  MPH
With Traffic,Yes,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekend,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Rural,30 - 35  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,50 - 55  MPH
With Traffic,Yes,Weekday,Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,Yes,Weekday,Intersection,Residential,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
Facing Traffic,Yes,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
With Traffic,Yes,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
Not Applicable,Yes,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Intersection,Commercial,Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Urban (>70% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,Yes,Weekend,Non-Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,50 - 55  MPH
Not Applicable,Yes,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
Not Applicable,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekend,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,20 - 25  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Intersection-Related,Residential,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
Not Applicable,Yes,Weekday,Non-Intersection,Residential,Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,40 - 45  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
Not Applicable,No,Weekend,Intersection-Related,Industrial,Dark - Lighted Roadway,Urban (>70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekend,Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
Facing Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
Facing Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekend,Intersection,Residential,Daylight,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,40 - 45  MPH
Not Applicable,No,Weekday,Non-Intersection,Commercial,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,Residential,Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Not Applicable,No,Weekday,Non-Intersection,Commercial,Daylight,Urban (>70% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,Yes,Weekday,Non-Intersection,Commercial,Dark - Lighted Roadway,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
With Traffic,Yes,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,60 - 75 MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,50 - 55  MPH
Facing Traffic,Yes,Weekday,Non-Intersection,Residential,Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dawn,Rural (<30% Developed),Coarse Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
Facing Traffic,Yes,Weekday,Non-Intersection,"Farms, Woods, Pastures",Daylight,Rural (<30% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),Coarse Asphalt,Rural,50 - 55  MPH
Facing Traffic,No,Weekday,Intersection,Commercial,Dark - Unknown Lighting,Urban (>70% Developed),Coarse Asphalt,Urban,30 - 35  MPH
Facing Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
With Traffic,Yes,Weekday,Non-Intersection,Commercial,Dusk,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
With Traffic,No,Weekend,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekend,Non-Intersection,Commercial,Daylight,Mixed (30% To 70% Developed),Smooth Asphalt,Rural,50 - 55  MPH
With Traffic,Yes,Weekend,Non-Intersection,Residential,Dark - Roadway Not Lighted,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Smooth Asphalt,Rural,40 - 45  MPH
With Traffic,No,Weekday,Non-Intersection,"Farms, Woods, Pastures",Dark - Roadway Not Lighted,Rural (<30% Developed),Coarse Asphalt,Urban,60 - 75 MPH
With Traffic,No,Weekday,Non-Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Coarse Asphalt,Urban,40 - 45  MPH
With Traffic,No,Weekday,Intersection,Residential,Daylight,Urban (>70% Developed),Smooth Asphalt,Urban,30 - 35  MPH
