year,playID,posteam,Home_game,defteam,yardline_100,half_seconds_remaining,game_seconds_remaining,scored,down,goal_to_go,ydstogo,kick_distance,timeouts_remaining,score_differential,kicker,kicker_player_id
2013,20130915054562,HOU,1,TEN,28,0,0,0,4,0,4,46,0,1,R.Bullock,00-0029421
2009,20091025072090,CAR,1,BUF,21,0,1800,0,4,0,2,39,0,-5,J.Kasay,00-0009028
2009,20091115062016,TEN,1,BUF,42,0,1800,0,1,0,10,60,1,3,R.Bironas,00-0020962
2009,20091122041993,BUF,0,JAC,4,0,1800,1,2,1,4,22,0,-4,R.Lindell,00-0019310
2009,20091129021900,CIN,1,CLE,35,0,1800,1,1,0,10,53,0,10,S.Graham,00-0019536
2010,20101121072400,SEA,0,NO,25,0,1800,1,3,0,12,43,1,-14,O.Mare,00-0010373
2011,20110925051969,PHI,1,NYG,20,0,1800,1,4,0,8,38,0,-4,A.Henery,00-0028058
2013,20131222062222,NYJ,1,CLE,3,0,1800,1,1,1,3,21,2,-3,N.Folk,00-0025565
2015,20151220082086,SEA,1,CLE,9,0,1800,1,1,1,9,27,1,7,S.Hauschka,00-0025944
2016,20160925042110,BAL,0,JAX,24,0,1800,1,1,0,10,42,0,3,J.Tucker,00-0029597
2017,20170924032130,CHI,1,PIT,5,0,1800,1,1,1,5,24,3,7,C.Barth,00-0026138
2017,20171005002324,TB,1,NE,38,0,1800,0,1,0,10,56,0,-6,N.Folk,00-0025565
2018,20181007082062,LAC,1,OAK,30,0,1800,0,1,0,10,48,2,14,C.Sturgis,00-0030390
2018,20181209092169,LAC,1,CIN,41,0,1800,1,1,0,5,59,1,2,M.Badgley,00-0034084
2016,20161023093986,ATL,1,SD,40,1,1,0,1,0,10,58,1,-1,M.Bryant,00-0020578
2009,20091004042206,JAC,1,TEN,37,1,1801,0,2,0,21,55,0,24,J.Scobee,00-0022874
2009,20091025002045,CHI,0,CIN,4,1,1801,1,1,1,4,22,0,-31,R.Gould,00-0023252
2009,20091108052311,NE,1,MIA,16,1,1801,1,4,0,14,34,0,3,S.Gostkowski,00-0024333
2009,20091122031923,GB,1,SF,9,1,1801,1,3,0,6,27,1,17,M.Crosby,00-0025580
2009,20091206112051,DAL,0,NYG,39,1,1801,0,1,0,10,57,1,-4,N.Folk,00-0025565
2009,20091213032031,HOU,1,SEA,30,1,1801,0,1,0,10,48,0,17,K.Brown,00-0001980
2009,20091227022225,OAK,0,CLE,43,1,1801,1,1,0,10,61,1,-11,S.Janikowski,00-0019646
2010,20100103051972,HOU,1,NE,38,1,1801,0,2,0,10,56,0,0,K.Brown,00-0001980
2010,20100912011992,BUF,1,MIA,45,1,1801,0,1,0,10,63,1,-7,R.Lindell,00-0019310
2010,20100926081795,DAL,0,HOU,31,1,1801,1,4,0,6,49,0,4,D.Buehler,00-0027119
2010,20101003032110,TEN,1,DEN,37,1,1801,1,3,0,2,55,2,-3,R.Bironas,00-0020962
2010,20101114072159,KC,0,DEN,22,1,1801,1,1,0,10,40,2,-27,R.Succop,00-0026968
2010,20101121022196,CIN,1,BUF,1,1,1801,1,3,1,1,19,0,13,A.Pettrey,00-0027405
2010,20101205002015,MIN,1,BUF,20,1,1801,1,4,0,10,38,2,22,R.Longwell,00-0010072
2010,20101226102177,OAK,1,IND,36,1,1801,0,2,0,10,54,0,-4,S.Janikowski,00-0019646
2011,20110918112187,NE,1,SD,29,1,1801,1,2,0,3,47,0,10,S.Gostkowski,00-0024333
2011,20111002081936,KC,1,MIN,33,1,1801,1,4,0,10,51,1,-1,R.Succop,00-0026968
2011,20111002032336,DAL,1,DET,17,1,1801,1,1,0,10,35,0,14,D.Bailey,00-0028660
2011,20111106052090,NO,1,TB,4,1,1801,1,2,1,4,21,0,11,J.Kasay,00-0009028
2012,20120913002038,GB,1,CHI,17,1,1801,1,1,0,10,35,0,10,M.Crosby,00-0025580
2012,20121125022334,IND,1,BUF,1,1,1801,1,4,1,1,19,0,3,A.Vinatieri,00-0016919
2012,20121202122097,SD,1,CIN,1,1,1801,1,2,1,1,19,1,-1,N.Novak,00-0023096
2012,20121230092145,GB,0,MIN,33,1,1801,1,4,0,5,51,0,-13,M.Crosby,00-0025580
2013,20131013122017,WAS,0,DAL,14,1,1801,1,4,0,7,32,1,-10,K.Forbath,00-0028787
2013,20131124062236,CAR,0,MIA,28,1,1801,1,1,0,10,46,0,-13,G.Gano,00-0026858
2013,20131201022453,IND,1,TEN,19,1,1801,1,1,0,10,37,0,2,A.Vinatieri,00-0016919
2014,20140914022092,CIN,1,ATL,37,1,1801,0,4,0,15,55,0,7,M.Nugent,00-0023482
2014,20140925002364,NYG,0,WAS,11,1,1801,1,1,0,10,29,0,14,J.Brown,00-0021940
2014,20140929001739,KC,1,NE,4,1,1801,1,1,1,4,22,0,14,C.Santos,00-0031203
2014,20141026112464,IND,0,PIT,5,1,1801,1,1,1,5,23,0,-17,A.Vinatieri,00-0016919
2014,20141109051920,PIT,0,NYJ,35,1,1801,1,2,0,10,53,0,-17,S.Suisham,00-0023001
2014,20141109062115,ATL,0,TB,25,1,1801,1,3,0,2,43,0,0,M.Bryant,00-0020578
2014,20141116051953,CIN,0,NO,24,1,1801,1,1,0,10,42,0,7,M.Nugent,00-0023482
2014,20141130012492,BUF,1,CLE,35,1,1801,0,2,0,10,53,1,-3,D.Carpenter,00-0026003
2015,20150927102249,ARI,1,SF,4,1,1801,1,2,1,4,22,0,19,C.Catanzaro,00-0030896
2015,20151029002250,MIA,0,NE,45,1,1801,0,1,0,10,63,2,-19,A.Franks,00-0031718
2015,20151207002009,WAS,1,DAL,26,1,1801,1,4,0,4,45,1,-3,D.Hopkins,00-0030098
2016,20160103091854,DET,0,CHI,40,1,1801,1,3,0,12,59,1,7,M.Prater,00-0023853
2016,20160911062178,CIN,0,NYJ,3,1,1801,1,4,1,3,21,0,-6,M.Nugent,00-0023482
2016,20161016091789,OAK,1,KC,28,1,1801,1,2,0,10,46,0,-6,S.Janikowski,00-0019646
2016,20161030102125,PHI,0,DAL,37,1,1801,1,3,0,3,55,0,0,C.Sturgis,00-0030390
2016,20161107002402,BUF,0,SEA,35,1,1801,0,2,0,10,54,-1,-11,D.Carpenter,00-0026003
2016,20161127002020,ARI,0,ATL,36,1,1801,1,1,0,10,54,2,-7,C.Catanzaro,00-0030896
2017,20170101132317,ARI,0,LA,29,1,1801,1,1,0,10,47,1,7,C.Catanzaro,00-0030896
2017,20170101111984,WAS,1,NYG,39,1,1801,0,1,0,10,57,1,-10,D.Hopkins,00-0030098
2017,20171008012121,NYJ,0,CLE,39,1,1801,1,1,0,10,57,1,0,C.Catanzaro,00-0030896
2017,20171105101870,OAK,0,MIA,35,1,1801,1,1,0,10,53,0,1,G.Tavecchio,00-0028907
2017,20171231142140,LA,1,SF,3,1,1801,1,1,1,3,21,0,-17,S.Ficken,00-0033138
2018,20181125021885,CAR,1,SEA,7,1,1801,1,4,1,7,25,0,0,G.Gano,00-0026858
2018,20181126002075,HOU,1,TEN,25,1,1801,1,3,0,5,43,0,11,K.Fairbairn,00-0032726
2018,20181202072287,NYG,1,CHI,39,1,1801,1,1,0,10,57,0,-8,A.Rosas,00-0032870
2018,20181209121968,DAL,1,PHI,44,1,1801,1,4,0,11,62,1,3,B.Maher,00-0030332
2009,20091206084434,NO,0,WAS,40,2,2,0,2,0,10,58,0,-1,G.Hartley,00-0025824
2010,20101219083891,DET,0,TB,10,2,2,1,3,1,10,28,0,-3,D.Rayner,00-0023635
2012,20121014074223,ARI,1,BUF,20,2,2,0,2,0,10,38,0,0,J.Feely,00-0019770
2012,20121112003966,KC,0,PIT,28,2,2,1,2,0,10,46,0,-3,R.Succop,00-0026968
2012,20121202023760,STL,1,SF,35,2,2,1,4,0,5,53,0,-5,G.Zuerlein,00-0029621
2013,20131201044140,CHI,0,MIN,48,2,2,0,3,0,8,66,1,0,R.Gould,00-0023252
2014,20141220014782,SF,1,SD,42,2,2,0,3,0,6,60,0,0,P.Dawson,00-0004091
2015,20151102004280,IND,0,CAR,6,2,2,1,4,0,4,24,0,-3,A.Vinatieri,00-0016919
2015,20151206054462,CHI,1,SF,18,2,2,0,3,0,11,36,1,0,R.Gould,00-0023252
2016,20161106053844,DET,0,MIN,40,2,2,1,2,0,10,58,0,-3,M.Prater,00-0023853
2009,20090913081902,TB,1,DAL,28,2,1802,0,2,0,10,46,0,-6,M.Nugent,00-0023482
2009,20090921001974,IND,0,MIA,30,2,1802,1,1,0,10,48,1,-3,A.Vinatieri,00-0016919
2009,20090927022030,DET,1,WAS,8,2,1802,1,4,1,8,26,0,10,J.Hanson,00-0006800
2009,20091004052024,NYG,0,KC,7,2,1802,1,2,1,7,25,0,11,L.Tynes,00-0019778
2009,20091004071903,TB,0,WAS,19,2,1802,1,4,0,7,37,0,7,M.Nugent,00-0023482
2009,20091108012073,ARI,0,CHI,25,2,1802,1,2,0,10,43,0,21,N.Rackers,00-0019676
